"Following data exported from SIDLAB 5.2.1"
"Project Name: ","Mark3"
"Component Name: ","component 1"
"Module: ","Simulation - Low Frequency"
"Creation Date:","Mon, 19 May 2025, 7:19:54"
"---------------------------------------------"
"Plot Name: ","Transmission Loss"
"Frequency X","Transmission Loss Y"
"10.0","0.8824568983694027"
"20.0","2.647990510042506"
"30.0","4.396127734655474"
"40.0","5.812581712532151"
"50.0","6.850640246768416"
"60.0","7.521230973125336"
"70.0","7.831829617120087"
"80.0","7.769569347539054"
"90.0","7.293131236592098"
"100.0","6.326577952337324"
"110.0","4.778065601819258"
"120.0","2.7710570536016284"
"130.0","1.8096069293728823"
"140.0","4.141852822404153"
"150.0","7.761006124458825"
"160.0","10.98905150806135"
"170.0","13.662851158334162"
"180.0","15.885180575068654"
"190.0","17.75145865754489"
"200.0","19.326123047507973"
"210.0","20.649001172629422"
"220.0","21.741594951920323"
"230.0","22.610326150724333"
"240.0","23.246836281285365"
"250.0","23.624998650334042"
"260.0","23.692837476199028"
"270.0","23.354147345363856"
"280.0","22.425053623615586"
"290.0","20.521173093545645"
"300.0","16.81540016354009"
"310.0","13.84009473701523"
"320.0","21.165853303190612"
"330.0","27.292824494921323"
"340.0","31.879129181020733"
"350.0","35.64506236568347"
"360.0","38.92424444896287"
"370.0","41.88832167312136"
"380.0","44.63724432629473"
"390.0","47.23533972167816"
"400.0","49.72762858178167"
"410.0","52.14808306822249"
"420.0","54.52424846149743"
"430.0","56.88010661737537"
"440.0","59.23807402018531"
"450.0","61.6206188369536"
"460.0","64.05181693202775"
"470.0","66.55912990751672"
"480.0","69.17575120692365"
"490.0","71.94406111534403"
"500.0","74.9211764447873"
"510.0","78.18859825741586"
"520.0","81.87047076349509"
"530.0","86.17193418605052"
"540.0","91.47195345892416"
"550.0","98.60171920277412"
"560.0","110.07145197367993"
"570.0","147.66877022215527"
"580.0","114.15247796402859"
"590.0","101.17996105463787"
"600.0","93.7311010774668"
"610.0","88.3524902037283"
"620.0","84.029225659352"
"630.0","80.38895864926202"
"640.0","77.44040729896096"
"650.0","75.54444530494835"
"660.0","75.03245196293788"
"670.0","75.612887079538"
"680.0","76.75435112017907"
"690.0","78.83237493782482"
"700.0","85.76336964497456"
"710.0","109.5603773986349"
"720.0","99.3957736806393"
"730.0","98.49979003288348"
"740.0","100.77920261167134"
"750.0","105.06581384505326"
"760.0","112.11071022505477"
"770.0","125.78717267486682"
"780.0","136.66096543521002"
"790.0","114.95647899119868"
"800.0","104.65118646388207"
"810.0","97.84323527260739"
"820.0","92.6764416850202"
"830.0","88.45504409579567"
"840.0","84.84253695761552"
"850.0","81.64996903482248"
"860.0","78.76011842403196"
"870.0","76.0947619014677"
"880.0","73.59861914286637"
"890.0","71.23069533419253"
"900.0","68.95925072466676"
"910.0","66.75868562702908"
"920.0","64.60749291742721"
"930.0","62.48682455615162"
"940.0","60.37941013334573"
"950.0","58.268660716508485"
"960.0","56.1378356731839"
"970.0","53.96916231899026"
"980.0","51.74278270120945"
"990.0","49.43535189342222"
"1000.0","47.01800666607129"
